1621344333229476096,-0.00431,0.00834,0.00016,0.90307,0.00247,-0.01512,0.42921,
1621344333329555200,-0.00419,0.00861,0.00025,0.89933,0.00279,-0.01724,0.43693,
1621344333562776064,-0.00390,0.00910,0.00033,0.91125,0.00612,-0.02217,0.41120,
1621344333629310976,-0.00371,0.00889,0.00054,0.91740,0.00417,-0.02489,0.39717,
1621344333762957056,-0.00341,0.00818,0.00046,0.93453,0.00408,-0.02616,0.35491,
1621344333829515264,-0.00341,0.00763,0.00012,0.94458,0.00282,-0.02697,0.32716,
1621344333962906112,-0.00421,0.00559,0.00078,0.96269,0.00325,-0.03148,0.26873,
1621344334029240064,-0.00525,0.00415,0.00131,0.97057,0.00467,-0.03411,0.23833,
1621344334162935296,-0.00977,-0.00038,0.00260,0.98304,0.00874,-0.03892,0.17899,
1621344334229196032,-0.01214,-0.00321,0.00318,0.98777,0.01191,-0.04059,0.15008,
1621344334362759168,-0.01987,-0.00796,0.00425,0.99423,0.01114,-0.04733,0.09564,
1621344334429381120,-0.02347,-0.01023,0.00462,0.99639,0.01003,-0.04965,0.06810,
1621344334562776064,-0.03391,-0.01631,0.00554,0.99848,0.01089,-0.05283,0.01108,
1621344334629467136,-0.03733,-0.01828,0.00615,0.99826,0.00888,-0.05550,-0.01799,
1621344334762698240,-0.05184,-0.02223,0.00580,0.99601,0.00396,-0.05607,-0.06935,
1621344334829625088,-0.06410,-0.02638,0.00551,0.99363,0.00140,-0.05800,-0.09666,
1621344334962806272,-0.08878,-0.03353,0.00547,0.98654,-0.00200,-0.06050,-0.15192,
1621344335029547264,-0.10357,-0.03870,0.00615,0.98223,-0.00300,-0.06033,-0.17771,
1621344335129659136,-0.12351,-0.04293,0.00860,0.97450,-0.00285,-0.06093,-0.21596,
1621344335229622016,-0.14474,-0.04791,0.01203,0.96482,-0.00030,-0.06382,-0.25506,
1621344335362834176,-0.17972,-0.05781,0.01638,0.95107,0.00154,-0.06739,-0.30154,
1621344335429517312,-0.19456,-0.06440,0.01644,0.94404,0.00218,-0.06902,-0.32252,
1621344335563094016,-0.23007,-0.07689,0.01878,0.92889,-0.00125,-0.07093,-0.36349,
1621344335629537024,-0.24879,-0.08541,0.01853,0.92076,-0.00170,-0.07020,-0.38376,
1621344335763023104,-0.29955,-0.11419,0.01716,0.90507,0.00109,-0.06979,-0.41950,
1621344335829383168,-0.31689,-0.13304,0.01329,0.89633,0.00220,-0.06947,-0.43791,
1621344335962959104,-0.35941,-0.17654,0.00730,0.87803,-0.00035,-0.06765,-0.47380,
1621344336029483008,-0.35331,-0.20081,0.00206,0.86885,0.00199,-0.06674,-0.49055,
1621344336163002368,-0.34174,-0.25288,-0.00258,0.84888,0.00514,-0.06563,-0.52446,
1621344336229416192,-0.33613,-0.28133,-0.00326,0.83831,0.00641,-0.06496,-0.54127,
1621344336362919168,-0.37877,-0.35107,-0.00340,0.82041,0.00690,-0.06275,-0.56828,
1621344336429515008,-0.40438,-0.38440,-0.00763,0.81122,0.00568,-0.06090,-0.58153,
1621344336562719232,-0.45545,-0.45634,-0.01672,0.79182,0.00187,-0.05536,-0.60823,
1621344336629815040,-0.48332,-0.48700,-0.02603,0.78044,-0.00006,-0.05167,-0.62310,
1621344336762907392,-0.54276,-0.55510,-0.03653,0.76072,-0.00304,-0.04627,-0.64743,
1621344336829711104,-0.57332,-0.58682,-0.04111,0.75090,-0.00668,-0.04406,-0.65891,
1621344336962847232,-0.64022,-0.65426,-0.04619,0.73060,-0.01163,-0.04145,-0.68145,
1621344337029616128,-0.67467,-0.67745,-0.05024,0.71956,-0.01633,-0.03786,-0.69321,
1621344337163143168,-0.74360,-0.71707,-0.05927,0.69502,-0.02512,-0.02816,-0.71800,
1621344337229825280,-0.76431,-0.69685,-0.06212,0.68029,-0.03125,-0.02548,-0.73184,
1621344337362977280,-0.81016,-0.67202,-0.06160,0.64723,-0.03982,-0.02438,-0.76087,
1621344337429604096,-0.80779,-0.62264,-0.05441,0.63124,-0.04448,-0.02270,-0.77398,
1621344337562978304,-0.87065,-0.63222,-0.05181,0.59859,-0.04684,-0.02124,-0.79941,
1621344337629793280,-0.89017,-0.62035,-0.04616,0.58007,-0.05094,-0.02078,-0.81271,
1621344337763003136,-0.94892,-0.61387,-0.04256,0.53018,-0.05541,-0.01838,-0.84587,
1621344337829531136,-0.96745,-0.59403,-0.04202,0.50327,-0.05586,-0.01860,-0.86212,
1621344337963190016,-1.03361,-0.57743,-0.04451,-0.44667,0.05058,0.01720,0.89310,
1621344338029573120,-1.02681,-0.54580,-0.04371,-0.41779,0.05021,0.01631,0.90701,
